ZIP,SOLDPRICE,SQFT,LOTSIZE,BEDS,BATHS,AGE,DOM
2474,410000.0,1368,1306800.0,2,2.0,3,897
2124,327000.0,1850,5000.0,2,2.5,5,658
2184,331000.0,1469,,2,1.0,38,467
1949,580000.0,2945,,2,2.5,4,565
2139,1000000.0,2536,,3,2.5,3,56
1867,537570.0,2687,,3,2.5,3,310
1581,356575.0,940,7000.0,2,1.0,0,246
1581,350721.0,1449,,3,1.5,30,221
2116,1252500.0,612,,1,1.0,4,435
2210,519000.0,1069,45011.0,2,1.5,3,28
2140,1050000.0,827,45011.0,1,1.0,3,30
2472,730000.0,943,,2,2.0,35,649
2116,4600000.0,1672,,2,2.5,30,346
2155,383000.0,987,,2,1.0,34,152
2019,184000.0,768,,1,1.0,46,405
2135,369000.0,2175,,2,2.5,3,31
1604,215000.0,2305,,2,2.5,3,138
2467,1170000.0,1899,,2,2.5,4,291
2127,670000.0,1789,,2,2.5,3,30
2129,562000.0,975,,2,1.5,31,359
1902,190000.0,1920,,3,2.0,6,233
2375,229900.0,763,,1,1.0,30,294
1545,129475.0,830,,2,1.0,98,338
1960,318000.0,1720,,2,2.0,3,70
1915,360000.0,537,,1,1.0,33,175
2127,626000.0,1720,,2,2.0,3,24
1915,190000.0,726,,2,1.5,55,278
1854,157000.0,870,,2,1.0,48,264
1915,344500.0,1385,,2,2.0,143,291
2459,1279000.0,2214,,2,2.5,19,206
1960,321000.0,1500,,4,1.5,3,18
2141,556000.0,1480,,2,2.0,3,97
2110,1299000.0,1480,,2,2.0,3,97
2131,545000.0,1480,,2,2.0,3,93
1532,148500.0,1480,,2,2.0,3,97
2460,779000.0,1480,,2,2.0,3,107
1536,190000.0,1476,0.0,3,1.5,13,169
2472,695000.0,3563,0.0,3,3.5,32,210
1852,250000.0,1056,1056.0,2,2.0,11,110
2038,152000.0,592,,2,1.0,119,50
2673,184000.0,464,,1,1.0,116,69
2171,815000.0,631,,1,1.0,2,152
2150,335000.0,1773,,3,2.0,13,156
2129,640000.0,1936,,2,2.5,19,40
1749,507000.0,1450,,2,1.5,32,78
2130,545000.0,1032,,2,1.5,31,69
2081,299000.0,1563,1563.0,2,2.0,12,49
1832,228750.0,1004,,2,2.0,3,54
1863,255000.0,2825,,2,2.5,3,64
1852,359900.0,1540,1540.0,3,2.5,118,47
1569,205000.0,1249,0.0,2,1.5,33,57
2061,190000.0,1180,104108.0,2,1.5,3,62
2127,482000.0,649,,2,1.0,68,116
2339,450000.0,630,,1,1.0,56,99
2134,505000.0,1228,,2,2.0,5,41
2453,535000.0,3420,7700.0,4,3.0,2,67
3087,415000.0,1524,,2,2.5,6,98
1890,500000.0,2657,,3,3.0,20,71
2145,1050000.0,1070,,1,2.0,31,36
2445,360000.0,802,,2,1.0,65,102
1826,210000.0,1394,,2,1.5,31,50
2128,492000.0,2526,,3,2.5,11,27
1721,264900.0,2300,40000.0,4,3.5,6,47
2459,925000.0,1800,,2,2.5,3,34
2780,238000.0,540,,1,1.0,31,93
2119,345450.0,1565,,2,2.5,14,106
1960,278000.0,1932,,3,2.5,5,53
2045,429000.0,1202,100560.0,2,2.0,12,52
1373,135400.0,731,,2,1.0,39,6
1863,241400.0,3472,,4,3.5,19,64
1826,160000.0,1155,,2,2.0,31,99
2128,386000.0,1710,,2,2.5,32,72
1879,171000.0,3268,6067.0,6,2.5,93,28
1970,231500.0,1465,0.0,2,2.0,119,76
2673,185000.0,1295,,2,2.0,52,87
1879,236850.0,1355,,2,2.0,2,56
2128,510000.0,1080,,2,1.5,29,73
1532,370000.0,1768,,2,2.5,32,85
2155,422000.0,715,,2,1.0,43,9
2062,415000.0,1265,,2,1.5,44,85
1930,293500.0,1854,,3,1.5,86,182
1862,274900.0,1218,,2,2.0,31,6
2458,1000100.0,1111,,2,2.0,14,26
1913,137000.0,1879,1254089.0,2,2.5,30,5
1970,390000.0,2000,,2,2.0,3,67
2466,570000.0,1290,1290.0,2,2.0,114,22
2453,440000.0,1004,1004.0,2,2.0,19,26
2116,2950000.0,1500,10199.0,3,2.0,2,40
1852,167800.0,1215,,3,1.0,118,93
2446,880000.0,1727,,2,2.5,108,130
